team_name,matchday,is_home,odds_win,odds_draw,odds_lose,club_id
RB Leipzig,9,True,1.22,6.73,13.07,5df62268-f904-5f9b-8de4-1eb87d07d4e2
Bielefeld,9,False,13.07,6.73,1.22,73ee6a0e-0e72-5993-b428-dab897667a53
Ein Frankfurt,9,False,2.73,3.52,2.51,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e
Bayern Munich,9,False,1.3,6.25,8.66,8cbdc111-c8f5-562f-bd1e-3c2ad3c5009b
Augsburg,9,True,2.42,3.43,2.91,921bf337-4304-5c3d-8092-b404cdceff6c
Hertha,9,False,4.34,3.87,1.78,aaa94999-1b29-5f1e-89e8-1a6441933f80
Leverkusen,9,True,1.78,3.87,4.34,abee2e16-c361-5d60-93ac-437af3739580
Dortmund,9,True,1.23,6.57,11.94,ba18834e-16b3-544b-9976-ac5b86b7bd4b
FC Koln,9,False,11.94,6.57,1.23,cf742159-06c0-554e-8479-a1a5700445bb
Union Berlin,9,True,2.51,3.52,2.73,d80f9ee5-1188-5302-a790-e61352fc45d4
Wolfsburg,9,True,1.89,3.64,4.14,d9470353-f1e4-5c01-a882-c69422a604b6
Mainz,9,True,3.28,3.78,2.08,e6c49a1f-35e4-5c77-b845-c71eb4dea7ce
Freiburg,9,False,2.91,3.43,2.42,f00a785b-acfa-5dc4-aecb-93f365778e10
Schalke 04,9,False,8.36,5.3,1.35,fd8cfc66-dd84-575a-af56-a5d987ca63e4
Stuttgart,10,False,2.48,3.56,2.73,45bfb2cb-63e8-583a-b80f-0e0ab042076c
M'gladbach,10,False,1.98,3.7,3.67,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716
Werder Bremen,10,True,2.73,3.56,2.48,4f9c979f-4120-5d67-b1fa-b0e90aeeaba8
Hoffenheim,10,True,1.84,3.92,3.97,57a1fdd6-7909-5651-bab2-8f7a70219d06
RB Leipzig,10,False,6.77,5.27,1.41,5df62268-f904-5f9b-8de4-1eb87d07d4e2
Bielefeld,10,True,2.83,3.46,2.47,73ee6a0e-0e72-5993-b428-dab897667a53
Ein Frankfurt,10,True,3.58,4.0,1.93,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e
Bayern Munich,10,True,1.41,5.27,6.77,8cbdc111-c8f5-562f-bd1e-3c2ad3c5009b
Augsburg,10,False,3.97,3.92,1.84,921bf337-4304-5c3d-8092-b404cdceff6c
Hertha,10,True,2.6,3.36,2.76,aaa94999-1b29-5f1e-89e8-1a6441933f80
Leverkusen,10,False,1.52,4.42,6.11,abee2e16-c361-5d60-93ac-437af3739580
Dortmund,10,False,1.93,4.0,3.58,ba18834e-16b3-544b-9976-ac5b86b7bd4b
FC Koln,10,True,3.55,3.52,2.07,cf742159-06c0-554e-8479-a1a5700445bb
Union Berlin,10,False,2.76,3.36,2.6,d80f9ee5-1188-5302-a790-e61352fc45d4
Wolfsburg,10,False,2.07,3.52,3.55,d9470353-f1e4-5c01-a882-c69422a604b6
Mainz,10,False,2.47,3.46,2.83,e6c49a1f-35e4-5c77-b845-c71eb4dea7ce
Freiburg,10,True,3.67,3.7,1.98,f00a785b-acfa-5dc4-aecb-93f365778e10
Schalke 04,10,True,6.11,4.42,1.52,fd8cfc66-dd84-575a-af56-a5d987ca63e4
Stuttgart,11,False,5.92,4.62,1.51,45bfb2cb-63e8-583a-b80f-0e0ab042076c
M'gladbach,11,True,1.92,3.77,3.81,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716
Werder Bremen,11,False,8.4,5.24,1.36,4f9c979f-4120-5d67-b1fa-b0e90aeeaba8
Hoffenheim,11,False,4.01,4.2,1.78,57a1fdd6-7909-5651-bab2-8f7a70219d06
RB Leipzig,11,True,1.36,5.24,8.4,5df62268-f904-5f9b-8de4-1eb87d07d4e2
Bielefeld,11,False,4.33,3.86,1.79,73ee6a0e-0e72-5993-b428-dab897667a53
Ein Frankfurt,11,False,2.91,3.62,2.34,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e
Bayern Munich,11,False,1.3,6.28,8.51,8cbdc111-c8f5-562f-bd1e-3c2ad3c5009b
Augsburg,11,True,1.92,3.6,3.98,921bf337-4304-5c3d-8092-b404cdceff6c
Hertha,11,False,3.81,3.77,1.92,aaa94999-1b29-5f1e-89e8-1a6441933f80
Leverkusen,11,True,1.78,4.2,4.01,abee2e16-c361-5d60-93ac-437af3739580
Dortmund,11,True,1.51,4.62,5.92,ba18834e-16b3-544b-9976-ac5b86b7bd4b
FC Koln,11,False,2.82,3.56,2.43,cf742159-06c0-554e-8479-a1a5700445bb
Union Berlin,11,True,8.51,6.28,1.3,d80f9ee5-1188-5302-a790-e61352fc45d4
Wolfsburg,11,True,2.34,3.62,2.91,d9470353-f1e4-5c01-a882-c69422a604b6
Mainz,11,True,2.43,3.56,2.82,e6c49a1f-35e4-5c77-b845-c71eb4dea7ce
Freiburg,11,True,1.79,3.86,4.33,f00a785b-acfa-5dc4-aecb-93f365778e10
Schalke 04,11,False,3.98,3.6,1.92,fd8cfc66-dd84-575a-af56-a5d987ca63e4
Stuttgart,12,True,2.14,3.52,3.37,45bfb2cb-63e8-583a-b80f-0e0ab042076c
M'gladbach,12,False,2.48,3.7,2.68,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716
Werder Bremen,12,True,5.95,4.68,1.5,4f9c979f-4120-5d67-b1fa-b0e90aeeaba8
Hoffenheim,12,True,4.54,4.44,1.65,57a1fdd6-7909-5651-bab2-8f7a70219d06
RB Leipzig,12,False,1.65,4.44,4.54,5df62268-f904-5f9b-8de4-1eb87d07d4e2
Bielefeld,12,True,2.87,3.18,2.58,73ee6a0e-0e72-5993-b428-dab897667a53
Ein Frankfurt,12,True,2.68,3.7,2.48,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e
Bayern Munich,12,True,1.34,5.56,8.15,8cbdc111-c8f5-562f-bd1e-3c2ad3c5009b
Augsburg,12,False,2.58,3.18,2.87,921bf337-4304-5c3d-8092-b404cdceff6c
Hertha,12,True,1.76,3.88,4.55,aaa94999-1b29-5f1e-89e8-1a6441933f80
Leverkusen,12,False,1.67,4.02,4.95,abee2e16-c361-5d60-93ac-437af3739580
Dortmund,12,False,1.5,4.68,5.95,ba18834e-16b3-544b-9976-ac5b86b7bd4b
FC Koln,12,True,4.95,4.02,1.67,cf742159-06c0-554e-8479-a1a5700445bb
Union Berlin,12,False,3.37,3.52,2.14,d80f9ee5-1188-5302-a790-e61352fc45d4
Wolfsburg,12,False,8.15,5.56,1.34,d9470353-f1e4-5c01-a882-c69422a604b6
Mainz,12,False,4.55,3.88,1.76,e6c49a1f-35e4-5c77-b845-c71eb4dea7ce
Freiburg,12,False,2.33,3.48,3.01,f00a785b-acfa-5dc4-aecb-93f365778e10
Schalke 04,12,True,3.01,3.48,2.33,fd8cfc66-dd84-575a-af56-a5d987ca63e4
Stuttgart,13,False,3.01,3.63,2.26,45bfb2cb-63e8-583a-b80f-0e0ab042076c
M'gladbach,13,True,1.89,4.06,3.69,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716
Werder Bremen,13,False,2.94,3.3,2.47,4f9c979f-4120-5d67-b1fa-b0e90aeeaba8
Hoffenheim,13,False,3.69,4.06,1.89,57a1fdd6-7909-5651-bab2-8f7a70219d06
RB Leipzig,13,True,1.31,5.57,9.69,5df62268-f904-5f9b-8de4-1eb87d07d4e2
Bielefeld,13,False,3.32,3.35,2.23,73ee6a0e-0e72-5993-b428-dab897667a53
Ein Frankfurt,13,False,1.97,3.7,3.7,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e
Bayern Munich,13,False,1.84,4.08,3.87,8cbdc111-c8f5-562f-bd1e-3c2ad3c5009b
Augsburg,13,True,3.7,3.7,1.97,921bf337-4304-5c3d-8092-b404cdceff6c
Hertha,13,False,2.69,3.42,2.6,aaa94999-1b29-5f1e-89e8-1a6441933f80
Leverkusen,13,True,3.87,4.08,1.84,abee2e16-c361-5d60-93ac-437af3739580
Dortmund,13,False,1.7,3.95,4.81,ba18834e-16b3-544b-9976-ac5b86b7bd4b
FC Koln,13,False,9.69,5.57,1.31,cf742159-06c0-554e-8479-a1a5700445bb
Union Berlin,13,True,4.81,3.95,1.7,d80f9ee5-1188-5302-a790-e61352fc45d4
Wolfsburg,13,True,2.26,3.63,3.01,d9470353-f1e4-5c01-a882-c69422a604b6
Mainz,13,True,2.47,3.3,2.94,e6c49a1f-35e4-5c77-b845-c71eb4dea7ce
Freiburg,13,True,2.6,3.42,2.69,f00a785b-acfa-5dc4-aecb-93f365778e10
Schalke 04,13,True,2.23,3.35,3.32,fd8cfc66-dd84-575a-af56-a5d987ca63e4
Stuttgart,14,True,3.9,4.0,1.85,45bfb2cb-63e8-583a-b80f-0e0ab042076c
M'gladbach,14,False,1.59,4.17,5.62,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716
Werder Bremen,14,True,2.9,3.29,2.51,4f9c979f-4120-5d67-b1fa-b0e90aeeaba8
Hoffenheim,14,True,2.04,3.75,3.41,57a1fdd6-7909-5651-bab2-8f7a70219d06
RB Leipzig,14,False,1.85,4.0,3.9,5df62268-f904-5f9b-8de4-1eb87d07d4e2
Bielefeld,14,True,5.62,4.17,1.59,73ee6a0e-0e72-5993-b428-dab897667a53
Ein Frankfurt,14,True,3.26,3.79,2.09,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e
Bayern Munich,14,True,1.11,10.17,21.74,8cbdc111-c8f5-562f-bd1e-3c2ad3c5009b
Augsburg,14,False,3.14,3.29,2.35,921bf337-4304-5c3d-8092-b404cdceff6c
Hertha,14,True,1.72,3.87,4.75,aaa94999-1b29-5f1e-89e8-1a6441933f80
Leverkusen,14,False,2.09,3.79,3.26,abee2e16-c361-5d60-93ac-437af3739580
Dortmund,14,True,1.58,4.29,5.4,ba18834e-16b3-544b-9976-ac5b86b7bd4b
FC Koln,14,True,2.35,3.29,3.14,cf742159-06c0-554e-8479-a1a5700445bb
Union Berlin,14,False,2.51,3.29,2.9,d80f9ee5-1188-5302-a790-e61352fc45d4
Wolfsburg,14,False,5.4,4.29,1.58,d9470353-f1e4-5c01-a882-c69422a604b6
Mainz,14,False,21.74,10.17,1.11,e6c49a1f-35e4-5c77-b845-c71eb4dea7ce
Freiburg,14,False,3.41,3.75,2.04,f00a785b-acfa-5dc4-aecb-93f365778e10
Schalke 04,14,False,4.75,3.87,1.72,fd8cfc66-dd84-575a-af56-a5d987ca63e4
Stuttgart,15,False,2.18,3.51,3.3,45bfb2cb-63e8-583a-b80f-0e0ab042076c
M'gladbach,15,True,4.93,4.76,1.59,4b2b1b8b-a72c-5732-b3b0-fb9ef6459716
Werder Bremen,15,False,6.74,4.59,1.47,4f9c979f-4120-5d67-b1fa-b0e90aeeaba8
Hoffenheim,15,False,1.73,4.1,4.44,57a1fdd6-7909-5651-bab2-8f7a70219d06
RB Leipzig,15,True,2.3,3.51,3.05,5df62268-f904-5f9b-8de4-1eb87d07d4e2
Bielefeld,15,True,4.1,3.58,1.91,73ee6a0e-0e72-5993-b428-dab897667a53
Ein Frankfurt,15,False,1.97,3.92,3.51,7cdf1033-912b-5fcf-a1bb-2dfe0cc7aa4e
Bayern Munich,15,False,1.59,4.76,4.93,8cbdc111-c8f5-562f-bd1e-3c2ad3c5009b
Augsburg,15,True,3.3,3.51,2.18,921bf337-4304-5c3d-8092-b404cdceff6c
Hertha,15,False,1.91,3.58,4.1,aaa94999-1b29-5f1e-89e8-1a6441933f80
Leverkusen,15,True,1.47,4.59,6.74,abee2e16-c361-5d60-93ac-437af3739580
Dortmund,15,False,3.05,3.51,2.3,ba18834e-16b3-544b-9976-ac5b86b7bd4b
FC Koln,15,False,3.95,3.6,1.94,cf742159-06c0-554e-8479-a1a5700445bb
Union Berlin,15,True,2.95,3.31,2.48,d80f9ee5-1188-5302-a790-e61352fc45d4
Wolfsburg,15,False,2.48,3.31,2.95,d9470353-f1e4-5c01-a882-c69422a604b6
