,odd_name,db_name,similarity
257,Stuttgart,VfL Wolfsburg,0.07692307692307687
258,Stuttgart,Arminia Bielefeld,0.05882352941176472
259,Stuttgart,Hoffenheim,0.0
260,Stuttgart,Bayer 04,0.0
261,Stuttgart,Eintracht Frankfurt,0.26315789473684215
262,Stuttgart,SC Freiburg,0.18181818181818177
263,Stuttgart,SV Werder,0.11111111111111116
264,Stuttgart,Hertha BSC,0.09999999999999998
265,Stuttgart,1. FC Köln,0.0
266,Stuttgart,Mainz 05,0.0
267,Stuttgart,Borussia M'gladbach,0.1578947368421053
268,Stuttgart,Union Berlin,0.08333333333333337
269,Stuttgart,VfB Stuttgart,0.6923076923076923
270,Union Berlin,FC Augsburg,0.0
271,Union Berlin,Schalke 04,0.08333333333333337
272,Union Berlin,RB Leipzig,0.16666666666666663
273,Union Berlin,FC Bayern,0.25
274,Union Berlin,Borussia Dortmund,0.17647058823529416
275,Union Berlin,VfL Wolfsburg,0.0
276,Union Berlin,Arminia Bielefeld,0.23529411764705888
277,Union Berlin,Hoffenheim,0.16666666666666663
278,Union Berlin,Bayer 04,0.16666666666666663
279,Union Berlin,Eintracht Frankfurt,0.10526315789473684
280,Union Berlin,SC Freiburg,0.0
281,Union Berlin,SV Werder,0.25
282,Union Berlin,Hertha BSC,0.08333333333333337
283,Union Berlin,1. FC Köln,0.25
284,Union Berlin,Mainz 05,0.16666666666666663
285,Union Berlin,Borussia M'gladbach,0.10526315789473684
286,Union Berlin,Union Berlin,1.0
287,Union Berlin,VfB Stuttgart,0.0
288,Werder Bremen,FC Augsburg,0.0
289,Werder Bremen,Schalke 04,0.07692307692307687
290,Werder Bremen,RB Leipzig,0.07692307692307687
291,Werder Bremen,FC Bayern,0.23076923076923073
292,Werder Bremen,Borussia Dortmund,0.2941176470588235
293,Werder Bremen,VfL Wolfsburg,0.0
294,Werder Bremen,Arminia Bielefeld,0.23529411764705888
295,Werder Bremen,Hoffenheim,0.15384615384615385
296,Werder Bremen,Bayer 04,0.23076923076923073
297,Werder Bremen,Eintracht Frankfurt,0.1578947368421053
298,Werder Bremen,SC Freiburg,0.07692307692307687
299,Werder Bremen,SV Werder,0.23076923076923073
300,Werder Bremen,Hertha BSC,0.3076923076923077
