,name,matchday,event_type,count
291944,Robert Lewandowski,13,savedPenalty,0
291940,Robert Lewandowski,13,secondYellowCard,0
291922,Robert Lewandowski,13,shotAtGoal,4
291923,Robert Lewandowski,13,successfulTackle,3
291926,Robert Lewandowski,13,superPass,0
291927,Robert Lewandowski,13,throwIn,0
291924,Robert Lewandowski,13,unsuccessfulPass,8
291932,Robert Lewandowski,13,unsuccessfulPenalty,0
291925,Robert Lewandowski,13,unsuccessfulTackle,8
291939,Robert Lewandowski,13,yellowCard,0
292901,Robert Lewandowski,14,awardedPenalty,0
292906,Robert Lewandowski,14,blockedGoalShot,0
292902,Robert Lewandowski,14,causedPenalty,0
292894,Robert Lewandowski,14,cross,0
292911,Robert Lewandowski,14,defended,0
292880,Robert Lewandowski,14,doublePack,1
292908,Robert Lewandowski,14,error,0
292881,Robert Lewandowski,14,farCorner,1
292882,Robert Lewandowski,14,foul,3
292895,Robert Lewandowski,14,freeKick,0
292883,Robert Lewandowski,14,goal,1
292912,Robert Lewandowski,14,goalAgainst,0
292893,Robert Lewandowski,14,goalAssist,0
292896,Robert Lewandowski,14,goalMissedFar,0
292899,Robert Lewandowski,14,hattrick,0
292884,Robert Lewandowski,14,interception,2
292910,Robert Lewandowski,14,lostPenalty,0
292898,Robert Lewandowski,14,missedChance,0
292907,Robert Lewandowski,14,offside,0
292900,Robert Lewandowski,14,ownGoal,0
292885,Robert Lewandowski,14,pass,21
292886,Robert Lewandowski,14,penaltyGoal,1
292905,Robert Lewandowski,14,redCard,0
292909,Robert Lewandowski,14,savedPenalty,0
292904,Robert Lewandowski,14,secondYellowCard,0
292887,Robert Lewandowski,14,shotAtGoal,2
292888,Robert Lewandowski,14,successfulTackle,3
292889,Robert Lewandowski,14,superPass,2
292892,Robert Lewandowski,14,throwIn,0
292890,Robert Lewandowski,14,unsuccessfulPass,6
292897,Robert Lewandowski,14,unsuccessfulPenalty,0
292891,Robert Lewandowski,14,unsuccessfulTackle,4
292903,Robert Lewandowski,14,yellowCard,0
293863,Robert Lewandowski,15,awardedPenalty,0
293868,Robert Lewandowski,15,blockedGoalShot,0
293864,Robert Lewandowski,15,causedPenalty,0
293841,Robert Lewandowski,15,cross,1
293872,Robert Lewandowski,15,defended,0
293860,Robert Lewandowski,15,doublePack,0
293869,Robert Lewandowski,15,error,0
293853,Robert Lewandowski,15,farCorner,0
293842,Robert Lewandowski,15,foul,1
293854,Robert Lewandowski,15,freeKick,0
293859,Robert Lewandowski,15,goal,0
293873,Robert Lewandowski,15,goalAgainst,0
293852,Robert Lewandowski,15,goalAssist,0
293843,Robert Lewandowski,15,goalMissedFar,3
293861,Robert Lewandowski,15,hattrick,0
293855,Robert Lewandowski,15,interception,0
293871,Robert Lewandowski,15,lostPenalty,0
293858,Robert Lewandowski,15,missedChance,0
293844,Robert Lewandowski,15,offside,3
293862,Robert Lewandowski,15,ownGoal,0
293845,Robert Lewandowski,15,pass,16
293846,Robert Lewandowski,15,penaltyGoal,1
293867,Robert Lewandowski,15,redCard,0
293870,Robert Lewandowski,15,savedPenalty,0
293866,Robert Lewandowski,15,secondYellowCard,0
293856,Robert Lewandowski,15,shotAtGoal,0
293847,Robert Lewandowski,15,successfulTackle,3
293848,Robert Lewandowski,15,superPass,1
293851,Robert Lewandowski,15,throwIn,0
293849,Robert Lewandowski,15,unsuccessfulPass,9
293857,Robert Lewandowski,15,unsuccessfulPenalty,0
