is_home,odds_draw,odds_lose,odds_win,weighted_occurences,team_name_normalized,event_type_normalized,position_normalized
1.0,3.79,4.28,1.81,0.0,12,0,0
0.0,4.95,8.83,1.37,0.0,12,0,0
1.0,3.68,2.41,2.78,1.0,12,0,0
0.0,4.79,7.52,1.42,1.0,12,0,0
1.0,5.03,7.77,1.4,1.0,12,0,0
0.0,4.75,7.68,1.42,1.0,12,0,0
1.0,5.14,7.52,1.39,3.0,12,0,0
0.0,3.68,2.19,3.18,1.0,12,0,0
1.0,3.44,3.3,2.21,0.0,12,0,0
0.0,3.89,2.97,2.22,0.0,12,0,0
1.0,11.59,24.69,1.09,0.0,1,0,1
0.0,6.93,10.51,1.23,0.0,1,0,1
1.0,8.27,15.23,1.16,0.0,1,0,1
0.0,7.73,13.73,1.19,0.0,1,0,1
1.0,7.26,11.2,1.22,0.0,1,0,1
0.0,8.08,13.96,1.18,0.0,1,0,1
0.0,4.19,3.89,1.82,0.0,1,0,1
1.0,10.28,19.29,1.11,0.0,1,0,1
0.0,6.25,8.66,1.3,0.0,1,0,1
1.0,5.27,6.77,1.41,0.0,1,0,1
0.0,6.28,8.51,1.3,1.0,1,0,1
1.0,5.56,8.15,1.34,0.0,1,0,1
0.0,4.08,3.87,1.84,0.0,1,0,1
1.0,10.17,21.74,1.11,0.0,1,0,1
0.0,4.76,4.93,1.59,0.0,1,0,1
1.0,6.92,10.74,1.23,0.0,1,0,1
0.0,7.08,12.19,1.21,0.0,1,0,1
0.0,7.92,13.48,1.18,0.0,1,0,1
1.0,7.03,10.22,1.24,1.0,1,0,1
0.0,5.57,7.09,1.38,0.0,1,0,1
1.0,8.3,15.56,1.16,0.0,1,0,1
0.0,4.3,3.95,1.78,0.0,1,0,1
1.0,7.57,14.09,1.18,0.0,1,0,1
1.0,4.38,4.69,1.65,0.0,1,0,1
0.0,6.41,10.28,1.26,0.0,1,0,1
1.0,6.95,10.48,1.23,0.0,1,0,1
0.0,3.68,2.78,2.41,0.0,1,0,1
1.0,4.68,6.49,1.47,0.0,1,0,1
0.0,3.88,3.8,1.9,0.0,1,0,1
1.0,4.96,6.48,1.45,0.0,1,0,1
0.0,5.81,8.74,1.32,0.0,1,0,1
1.0,5.48,7.64,1.37,0.0,1,0,1
0.0,5.82,8.6,1.32,1.0,1,0,1
1.0,9.9,18.62,1.13,1.0,1,0,1
1.0,5.48,7.5,1.37,0.0,12,0,3
0.0,3.65,3.03,2.25,0.0,12,0,3
1.0,6.14,10.84,1.26,1.0,12,0,3
0.0,4.52,5.76,1.53,0.0,12,0,3
1.0,4.78,6.34,1.47,0.0,12,0,3
0.0,3.63,2.96,2.31,0.0,12,0,3
1.0,5.24,8.71,1.35,0.0,12,0,3
0.0,3.91,3.76,1.91,0.0,12,0,3
1.0,6.73,13.07,1.22,0.0,12,0,3
0.0,5.27,1.41,6.77,1.0,12,0,3
1.0,5.24,8.4,1.36,0.0,12,0,3
0.0,4.44,4.54,1.65,0.0,12,0,3
1.0,5.57,9.69,1.31,0.0,12,0,3
0.0,4.0,3.9,1.85,0.0,12,0,3
1.0,3.51,3.05,2.3,0.0,12,0,3
0.0,3.6,3.51,2.06,1.0,12,0,3
1.0,4.2,6.87,1.51,0.0,12,0,3
0.0,4.81,7.57,1.41,0.0,12,0,3
1.0,3.6,4.0,1.93,0.0,12,0,3
0.0,5.39,9.24,1.33,0.0,12,0,3
1.0,5.97,11.32,1.26,1.0,12,0,3
0.0,3.96,5.0,1.68,0.0,12,0,3
1.0,4.19,5.12,1.63,0.0,12,0,3
0.0,3.98,5.04,1.67,1.0,12,0,3
1.0,3.79,4.28,1.81,0.0,12,0,3
0.0,4.95,8.83,1.37,0.0,12,0,3
1.0,3.68,2.41,2.78,0.0,12,0,3
0.0,4.79,7.52,1.42,0.0,12,0,3
1.0,5.03,7.77,1.4,0.0,12,0,3
0.0,4.75,7.68,1.42,0.0,12,0,3
1.0,5.14,7.52,1.39,0.0,12,0,3
0.0,3.68,2.19,3.18,0.0,12,0,3
1.0,3.44,3.3,2.21,0.0,12,0,3
0.0,3.89,2.97,2.22,0.0,12,0,3
1.0,4.19,4.91,1.65,0.0,4,0,0
0.0,3.75,2.28,2.96,0.0,4,0,0
1.0,3.62,2.84,2.38,0.0,4,0,0
0.0,3.78,3.16,2.13,1.0,4,0,0
0.0,7.26,1.22,11.2,1.0,4,0,0
1.0,4.11,4.32,1.75,2.0,4,0,0
0.0,3.66,2.67,2.5,1.0,4,0,0
1.0,3.91,1.91,3.76,0.0,4,0,0
0.0,3.52,2.51,2.73,0.0,4,0,0
1.0,4.0,1.93,3.58,0.0,4,0,0
0.0,3.62,2.34,2.91,0.0,4,0,0
1.0,3.7,2.48,2.68,1.0,4,0,0
0.0,3.7,3.7,1.97,1.0,4,0,0
1.0,3.79,2.09,3.26,0.0,4,0,0
0.0,3.92,3.51,1.97,3.0,4,0,0
1.0,4.47,6.1,1.52,2.0,4,0,0
0.0,3.47,2.87,2.43,1.0,4,0,0
0.0,3.78,4.5,1.78,2.0,4,0,0
1.0,3.82,4.4,1.79,2.0,4,0,0
0.0,3.81,2.95,2.24,2.0,4,0,0
1.0,4.47,6.53,1.48,1.0,4,0,0
1.0,4.3,1.78,3.95,1.0,4,0,0
